"LOCATION","Location","PLASTIC_LEAKAGE_TO_OCEAN","Variable","TIME","Time","Value","Flag Codes","Flags"
"O22","OECD EU ","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2019","2019",3.564014,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2000","2000",7.38925,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2001","2001",7.68595,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2002","2002",7.98413,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2003","2003",8.28071,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2004","2004",8.57666,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2005","2005",8.86648,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2006","2006",9.15324,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2007","2007",9.43604,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2008","2008",9.69946,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2009","2009",9.95083,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2010","2010",10.19793,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2011","2011",10.43353,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2012","2012",10.65542,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2013","2013",10.86466,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2014","2014",11.05613,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2015","2015",11.23299,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2016","2016",11.3943,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2017","2017",11.54173,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2018","2018",11.67376,,
"O22","OECD EU ","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2019","2019",11.80346,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2000","2000",0.388719,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2001","2001",0.388462,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2002","2002",0.392758,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2003","2003",0.393642,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2004","2004",0.395605,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2005","2005",0.391792,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2006","2006",0.391042,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2007","2007",0.389233,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2008","2008",0.37137,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2009","2009",0.360886,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2010","2010",0.357998,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2011","2011",0.34776,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2012","2012",0.334913,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2013","2013",0.323083,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2014","2014",0.305775,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2015","2015",0.291436,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2016","2016",0.275958,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2017","2017",0.261825,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2018","2018",0.246141,,
"O22","OECD EU ","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2019","2019",0.243705,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2000","2000",0.089113,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2001","2001",0.091821,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2002","2002",0.094528,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2003","2003",0.097117,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2004","2004",0.099648,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2005","2005",0.101973,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2006","2006",0.104235,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2007","2007",0.106395,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2008","2008",0.108039,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2009","2009",0.109497,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2010","2010",0.110938,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2011","2011",0.11213,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2012","2012",0.113063,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2013","2013",0.113833,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2014","2014",0.114285,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2015","2015",0.114556,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2016","2016",0.114598,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2017","2017",0.114475,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2018","2018",0.114131,,
"O22","OECD EU ","TRANSPORT_TO_OCEANS","Transport to oceans","2019","2019",0.113975,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2000","2000",0.575286,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2001","2001",0.610658,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2002","2002",0.647319,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2003","2003",0.685235,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2004","2004",0.724438,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2005","2005",0.764861,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2006","2006",0.806516,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2007","2007",0.849427,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2008","2008",0.893344,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2009","2009",0.938225,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2010","2010",0.984134,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2011","2011",1.030995,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2012","2012",1.078747,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2013","2013",1.127374,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2014","2014",1.176772,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2015","2015",1.226845,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2016","2016",1.277681,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2017","2017",1.329101,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2018","2018",1.38108,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_OCEANS","Accumulated stock in oceans","2019","2019",1.433757,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2000","2000",1.902632,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2001","2001",1.990573,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2002","2002",2.080934,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2003","2003",2.172758,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2004","2004",2.266552,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2005","2005",2.36077,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2006","2006",2.456557,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2007","2007",2.553746,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2008","2008",2.646926,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2009","2009",2.738789,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2010","2010",2.832709,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2011","2011",2.92585,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2012","2012",3.018067,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2013","2013",3.109946,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2014","2014",3.199207,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2015","2015",3.28664,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2016","2016",3.37264,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2017","2017",3.4583,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2018","2018",3.54272,,
"OE6","OECD Non-EU","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2019","2019",3.6272,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2000","2000",0.121362,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2001","2001",0.123347,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2002","2002",0.127002,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2003","2003",0.129727,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2004","2004",0.133049,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2005","2005",0.134578,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2006","2006",0.137425,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2007","2007",0.140158,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2008","2008",0.137033,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2009","2009",0.136827,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2010","2010",0.139806,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2011","2011",0.139985,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2012","2012",0.139977,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2013","2013",0.140557,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2014","2014",0.138537,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2015","2015",0.137635,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2016","2016",0.13672,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2017","2017",0.137098,,
"OE6","OECD Non-EU","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2018","2018",0.136482,,
